Site,FavIcon,SecureProtocol,CheckPort,SiteAge,SiteLength,SpecialCharacters,Certificate,Malicious Links,Swapped,Pulse Count,Malicious count,IsSafe
https://tools.google.com,0,0,0,0,0,0,0,3,0,0,100,1
https://paypal.com,0,0,0,0,0,0,0,0,0,23,100,1
https://lemonde.fr,0,0,0,0,0,0,0,0,0,2,100,1
https://goo.gl,0,0,0,0,0,0,0,0,0,0,100,1
https://www.livejournal.com,0,0,0,0,0,0,0,1,0,11,100,1
https://dailymotion.com,0,0,0,0,0,0,0,0,0,6,100,1
https://fr.wikipedia.org,0,0,0,0,0,0,0,0,0,0,100,1
https://netvibes.com,1,0,0,0,0,0,0,0,0,0,100,1
https://reg.ru,0,0,0,0,0,0,0,9,0,29,100,1
https://aliexpress.com,0,0,0,0,0,0,0,0,0,4,100,1
https://surveymonkey.com,0,0,0,0,0,0,0,0,0,7,100,1
https://variety.com,0,0,0,0,0,0,0,10,0,2,100,1
https://deloitte.com,0,0,0,0,0,0,0,0,0,0,5,1
https://nginx.com,0,0,0,0,0,0,0,2,0,5,100,1
https://office.com,0,0,0,0,0,0,0,0,0,23,100,1
https://boston.com,0,0,0,0,0,0,0,0,0,0,100,1
https://goodreads.com,1,0,0,0,0,0,0,3,0,2,100,1
https://linkedin.com,0,0,0,0,0,0,0,0,0,50,100,1
https://wired.com,0,0,0,0,0,0,0,0,0,2,100,1
https://cpanel.net,0,0,0,0,0,0,0,0,0,2,95,1
https://telegraph.co.uk,0,0,0,0,0,0,0,0,0,6,100,1
https://narod.ru,0,0,0,0,0,0,0,0,0,2,100,1
https://washingtonpost.com,0,0,0,0,0,0,0,0,0,1,100,1
https://youronlinechoices.com,1,0,0,0,0,0,0,0,0,1,2,1
https://addtoany.com,0,0,0,0,0,0,0,0,0,24,100,1
https://com.com,1,1,0,0,0,0,0,0,0,2,100,1
https://marketingplatform.google.com,0,0,0,0,0,0,0,0,0,0,100,1
https://time.com,0,0,0,0,0,0,0,3,0,8,100,1
https://bloglovin.com,0,0,0,0,0,0,0,0,0,0,100,1
https://aol.com,0,0,0,0,0,0,0,14,0,43,100,1
https://bandcamp.com,0,0,0,0,0,0,0,0,0,12,100,1
https://standard.co.uk,0,0,0,0,0,0,0,0,0,2,100,1
https://instagram.com,0,0,0,0,0,0,0,0,0,50,100,1
https://amazon.ca,1,0,0,0,0,0,0,0,0,2,100,1
https://espn.com,0,0,0,0,0,0,0,0,0,2,100,1
https://yelp.com,0,0,0,0,0,0,0,0,0,2,100,1
https://prezi.com,0,0,0,0,0,0,0,0,0,2,100,1
https://walmart.com,1,0,0,0,0,0,0,0,0,2,100,1
https://mail.ru,0,0,0,0,0,0,0,0,0,46,100,1
https://insider.com,0,0,0,0,0,0,0,0,0,2,100,1
https://forbes.com,0,0,0,0,0,0,0,1,0,4,100,1
https://nypost.com,0,0,0,0,0,0,0,0,0,7,100,1
https://metro.co.uk,0,0,0,0,0,0,0,0,0,2,100,1
https://pbs.org,0,0,0,0,0,0,0,8,0,3,100,1
https://vimeo.com,0,0,0,0,0,0,0,0,0,50,100,1
https://wiktionary.org,0,0,0,0,0,0,0,0,0,12,100,1
https://yandex.com,1,0,0,0,0,0,0,0,0,34,100,1
https://ok.ru,0,0,0,0,0,0,0,4,0,23,100,1
https://leparisien.fr,0,0,0,1,0,0,0,1,0,0,100,1
https://vice.com,0,0,0,0,0,0,0,4,0,4,100,1
https://google.fr,1,0,0,1,0,0,0,0,0,50,100,1
https://drive.google.com,0,0,0,0,0,0,0,0,0,0,100,1
https://francetvinfo.fr,0,0,0,1,0,0,0,0,0,0,100,1
https://php.net,0,0,0,0,0,0,0,0,0,50,100,1
https://google.com.tw,1,0,0,0,0,0,0,0,0,8,100,1
https://ovh.co.uk,0,0,0,0,0,0,0,0,0,0,100,1
https://sky.com,0,0,0,0,0,0,0,1,0,12,100,1
https://ovh.com,0,0,0,0,0,0,0,0,0,0,100,1
https://imageshack.us,0,0,0,0,0,0,0,0,0,0,100,1
https://radiofrance.fr,0,0,0,1,0,0,0,3,0,0,100,1
https://abcnews.go.com,0,0,0,0,0,0,0,0,0,0,100,1
https://www.wix.com,0,0,0,0,0,0,0,0,0,19,100,1
https://bbc.com,1,0,0,0,0,0,0,0,0,6,100,1
https://gooyaabitemplates.com,0,0,0,0,0,0,0,0,0,0,11,1
https://theguardian.com,0,0,0,0,0,0,0,0,0,5,100,1
https://addthis.com,1,0,0,0,0,0,0,0,0,50,100,1
https://cnbc.com,0,0,0,0,0,0,0,0,0,5,100,1
https://quora.com,0,0,0,0,0,0,0,0,0,0,73,1
https://dan.com,0,0,0,0,0,0,0,11,0,11,100,1
https://nytimes.com,0,0,0,0,0,0,0,0,0,16,100,1
https://plesk.com,0,0,0,0,0,0,0,1,0,3,100,1
https://medium.com,0,0,0,0,0,0,0,1,0,34,100,1
https://dw.com,0,0,0,0,0,0,0,0,0,3,100,1
https://hollywoodreporter.com,0,0,0,0,0,0,0,0,0,1,100,1
https://ikea.com,1,0,0,0,0,0,0,0,0,1,100,1
https://gravatar.com,0,0,0,0,0,0,0,0,0,0,100,1
https://myaccount.google.com,0,0,0,0,0,0,0,0,0,0,100,1
https://buydomains.com,0,0,0,0,0,0,0,0,0,5,100,1
https://stackoverflow.com,0,0,0,0,0,0,0,2,0,40,100,1
https://play.google.com,0,0,0,0,0,0,0,0,0,0,100,1
https://ru.wikipedia.org,0,0,0,0,0,0,0,0,0,0,100,1
https://adssettings.google.com,0,0,0,0,0,0,0,5,0,0,100,1
https://clarin.com,0,0,0,0,0,0,0,0,0,0,100,1
https://feedburner.com,0,0,0,0,0,0,0,0,0,15,100,1
https://t.co,0,0,0,0,0,0,0,0,0,50,100,1
https://news.yahoo.com,0,0,0,0,0,0,0,4,0,0,100,1
https://ig.com.br,0,0,0,0,0,0,0,0,0,4,100,1
https://creativecommons.org,0,0,0,0,0,0,0,0,0,31,100,1
https://scribd.com,0,0,0,0,0,0,0,0,0,4,100,1
https://businessinsider.com,0,0,0,0,0,0,0,0,0,12,100,1
https://google.it,1,0,0,0,0,0,0,0,0,50,100,1
https://foxnews.com,0,0,0,0,0,0,0,11,0,10,100,1
https://timeweb.ru,0,0,0,0,0,0,0,0,0,0,100,1
https://en.wikipedia.org,0,0,0,0,0,0,0,0,0,0,100,1
https://apple.com,1,0,0,0,0,0,0,0,0,50,100,1
https://evernote.com,1,0,0,0,0,0,0,0,0,0,100,1
https://qq.com,0,0,0,0,0,0,0,828,0,28,100,1
http://stavebnefirmy.sk/investment/,0,0,0,0,0,0,0,0,0,0,8,0
http://www.wksiegarnia.pl/4d.php,1,1,0,1,0,0,1,0,0,0,2,0
http://hudsonvalleyonline.com/wz_investmentINCO/wmrh,0,1,0,0,0,0,0,0,0,0,48,0
https://tinyurl.com/y85b8ayw,0,0,0,0,0,0,0,0,0,50,100,0
http://hudsonvalleyonline.com/wz_investmentINCO/wmrh/,0,1,0,0,0,0,0,0,0,0,48,0
http://lloydloomonline.com/images/products/amin/bookmark/ii.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,1,1,0,0,1,0,0,0,0,0,0,0
http://almassaia.com/wp-includes/fonts/,1,0,0,0,0,0,0,0,0,0,100,0
http://wf-kred.hut4.ru/,0,0,0,0,0,0,0,1,0,0,19,0
http://www.banksignin.com/wells-fargo-online-banking-login/,1,1,0,0,1,0,0,0,0,0,100,0
http://www.kiddieuniversityinc.com/wp-content/themes/twentyfifteen/update/question.php,1,1,0,0,1,0,1,0,0,1,100,0
http://www.aravana.net/manage/79b84/home?DZ=1668127248356345343_afa7589a7f79134983a86e69f4d47fc4=Algeria,1,1,0,0,0,0,0,0,0,0,100,0
http://bill.eyepinnews.com,1,0,0,0,0,0,0,0,0,0,0,0
http://westjavatourismboard.info/,0,0,0,0,0,0,0,0,0,0,7,0
http://www.dinogas.com.mx/boletin/texts/alibaba21012015/alibaba21012015/a2bda571ded8a51bd9050962293ca513/,0,0,0,0,0,0,0,0,0,0,0,0
http://www.dinogas.com.mx/boletin/texts/alibaba21012015/alibaba21012015/f0bbadf12a9e5a6f92c4f4237cea4b8d/,0,0,0,0,0,0,0,0,0,0,0,0
http://ilakenya.org/Proff2933/contactform.php,0,0,0,0,0,0,0,0,0,0,1,0
http://tinyurl.com/zkxg4le,0,0,0,0,0,0,0,0,0,50,100,0
http://www.atanahotel.com/wp-includes/SimplePie/login.htm/,1,1,0,0,1,0,0,9,0,0,3,0
http://gotaeventos.com/galeria/images/sync/file/doc/index.html,1,0,0,0,0,0,0,0,0,50,100,0
http://s2.imgmaster.net/alibaba/alibaba.html?action=billing_login=true=&crm_mtn_tracelo=&crm_mtn_tracelog_task_idhttp:%2F,1,1,0,0,0,2,1,0,0,0,28,0
http://s2.imgmaster.net/alibaba/alibaba.html?amp;biz_type=&crm_mtn_tracelog_task_id,1,1,0,0,0,2,1,0,0,0,28,0
http://foodsafetyadmin.com/secure14/paypal/support/service/ffc45a95efe734c57d9b9ee5cbd20afc/udpate/sub/id.verf/,1,1,0,0,2,0,1,0,0,0,100,0
http://www.musirawaskab.go.id/love.php?ID=curut,0,0,0,0,0,0,0,3,0,0,1,0
http://s2.imgmaster.net/alibaba/alibaba.html?action=billing_login=true&ce7a4f9771464310946,1,1,0,0,0,2,1,0,0,0,28,0
https://oc.mightytech.org/admin/service/signin/customer_center/customer-IDPP00C915/myaccount/signin,0,0,0,0,2,0,0,0,0,0,0,0
http://apps-43432.edusite.me/email.htm,1,1,0,1,0,1,1,0,0,0,35,0
http://hannagroup.org/help/Paype/,0,0,0,0,0,0,0,9,0,0,100,0
http://bit.ly/iwjKKFG9IFJI9FGK00R9kgjd9fgkjhlldfig,1,0,0,0,2,0,0,0,0,0,100,0
https://oc.mightytech.org/admin/service/signin/customer_center/customer-IDPP00C915/myaccount/signin/,0,0,0,0,2,0,0,0,0,0,0,0
http://polobarbers.co.uk/xmlrpc/2015/4f9cfe8e764d15992d5e184ef9be5c8c/confirmer.php,1,1,0,0,1,0,0,0,0,0,100,0
http://www.polobarbers.co.uk/xmlrpc/2015/4f9cfe8e764d15992d5e184ef9be5c8c/confirmer.php,1,1,0,0,1,0,0,0,0,0,100,0
http://iphonegeek.me/instructions/dlya-chajnikov/392-lichnyy-opyt-neprivyazannyy-dzheylbreyk-ios-712-na-iphone-5s-v-srede-os-x-mavericks.html,0,0,0,0,0,0,0,0,0,0,6,0
http://khatsaz.com/bankofamerica.com.login.account.update/1ab5b207453ce26b2c1474c0714db8da/signInScreen.go.html,1,1,0,0,2,0,0,0,0,0,100,0
http://khatsaz.com/bankofamerica.com.login.account.update/1ab5b207453ce26b2c1474c0714db8da/update.html,1,1,0,0,2,0,0,0,0,0,100,0
http://khatsaz.com/bankofamerica.com.login.account.update/9d9f5a13b59a621c7afbe6e924b12f16/,1,1,0,0,2,0,0,0,0,0,100,0
http://gadjo-combo.com/video31/googledocs/,1,0,0,0,0,1,0,0,0,0,16,0
https://secretaryofstates.com/Paypal/en/,1,0,0,0,0,0,0,7,0,0,0,0
http://www.svetapetka.se/hakim/Account-apple/Account/appte,0,1,0,0,0,0,0,2,0,0,0,0
http://www.humainecom.info/googledocs/aol.htm?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&userid_JeHJOXK0IDw_JOXK0IDD&userid=,1,1,0,0,0,0,1,1,0,0,100,0
http://l5-paypal-it.skroc.pl/,1,1,0,0,0,1,1,0,0,0,0,0
http://www.svetapetka.se/hakim/Account-apple/Account/appte/,0,1,0,0,1,0,0,2,0,0,0,0
http://www.txtmate.com/fileshare/.(r5t6yfrt754r5t6y7u8ijohugyfthgybujnkTRbk)=dhnb45678RSE5DR6dxer456t7yuhijkhg7tfr6d/,1,1,0,0,2,0,0,0,0,0,100,0
http://www.ftv.co.in/modelex/agency/models/big/ipmode/http/archive.htm,0,0,0,0,0,0,0,0,0,8,100,0
http://deboratransportes.com.br/,1,1,0,0,0,0,0,1,0,0,0,0
http://www.medilitigation.com/wp-content/themes/twentythirteen/fonts/verification/online.htm,1,0,0,0,2,0,0,0,0,0,25,0
http://utahbabyshow.com/wp-content/fresh/index.php,1,0,0,1,0,0,0,0,0,0,100,0
http://www.abudhabiboats.com/images/.frreeebox/free.mobile.fr/moncompte/f41cfeb88ddd8aaf0a64254349fbd515/,0,0,0,0,2,0,0,3,0,5,100,0
http://thekeyfilm.com/,0,1,0,0,0,0,0,0,0,1,100,0
https://surpeendap.sslblindado.com/system_mastercard/surpreenda_index00965/promocoes0927/clientes_cadastro020e92/,1,0,0,0,2,0,0,0,0,0,0,0
http://getthedata.org/account/yahoo/signin,1,1,0,0,0,0,0,0,0,4,100,0
http://gourl.us/LOPOR,1,0,0,0,0,0,0,0,0,0,64,0
http://www.abudhabiboats.com/images/.frreeebox/free.mobile.fr/moncompte/045b0bc72b3e5ab6ce9449f84d369dad/,0,0,0,0,2,0,0,3,0,5,100,0
http://affinitaux.fr/,0,0,0,0,0,0,0,0,0,0,100,0
http://ranistars.com/logs/moncompte/free/5c78f4ace0bd3d90c38ab86fd706f6a4,1,0,0,0,0,0,0,0,0,0,1,0
http://ranistars.com/logs/moncompte/free/5c78f4ace0bd3d90c38ab86fd706f6a4/,1,0,0,0,2,0,0,0,0,0,1,0
http://roz-bud.pl/login,0,0,0,0,0,0,0,0,0,0,100,0
http://normalflorencia.edu.co/chat/sss/index.htm,1,1,0,0,0,0,0,0,0,0,51,0
http://blog.hetgroenbureau.nl/wp-admin/user/onlinesecurity/Logon.php?LOB=RBGLogon,0,1,0,0,1,0,0,0,0,0,0,0
http://www.barnumreception.com/wp-content/themes/theme_br/includes/uploadify/uploads/bb/IMPOTS.LOGIN.ESPACE.COMPTE.GOUVE.FR.FR.com/impots,1,1,0,0,0,0,0,0,0,0,100,0
http://freelifestyle.co.za/renew/GoogleDoc/index.html,0,1,0,0,0,0,1,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&0b6c2c3af438f35ef17,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&f1261c624acbfe8c4af0e0,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&4356d45a6312fc67ded8a0,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&c69e1dff,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&eaa7822dee85866d1bbbb0,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&b253640,1,1,0,0,0,0,0,0,0,0,0,0
http://www.barnumreception.com/wp-content/themes/theme_br/includes/uploadify/uploads/bb/IMPOTS.LOGIN.ESPACE.COMPTE.GOUVE.FR.FR.com/impots/42d00947f42df81171a63574dba4ec0b,1,1,0,0,0,0,0,0,0,0,100,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&e0618e13579ab7ea2,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&26418f412130b,1,1,0,0,0,0,0,0,0,0,0,0
http://livingoutfitters.com/wordpress/max/index.htm?logon=myposte&c64b012190fac032d39e0,1,1,0,0,0,0,0,0,0,0,0,0
http://informategratis.com/gie/wellsfargo/index.html,1,1,0,0,0,0,0,0,0,0,100,0
http://www.jomjb.com/adobeaa/JSK/Adobe/adobeaa/bc15ea36c29ae991c479a43134fc71c4/index2.htm,1,0,0,0,2,0,0,0,0,0,1,0
http://fieldorf.pl/multimedia/o-melhor-para-voce/id_digital/sincronia.php,0,0,0,0,0,0,0,1,0,0,100,0
http://weidaiwei.com/weidaiwei/wire/google,1,0,0,1,0,0,0,0,0,0,50,0
http://www.seelke.net/,1,0,0,0,0,0,0,0,0,0,29,0
http://informategratis.com/gie/wellsfargo/identity.php,1,1,0,0,0,0,0,0,0,0,100,0
http://weidaiwei.com/weidaiwei/wire/google/,1,0,0,1,0,0,0,0,0,0,50,0
http://www.wordsofnewhope.com/edva.html?W-GOLF-3-III-BREMSTROMMEL-BREMSEN-SET-ZUBEHOR-2-x-RADLAGER-FUR-HINTEN-%2F360395521770,0,0,0,0,0,0,0,7,0,0,100,0
http://www.turkishinterpretingusa.com/wp-admin/network/ChaseOnlineAuth/,0,0,0,0,0,0,0,0,0,0,28,0
http://www.klcontracts.co.uk/modules/mod_custom/f/9128f775610940654209e43d9801b903/,1,1,0,0,2,0,0,0,0,0,100,0
http://www.nwac-ne.org/doc/docx/index.php,1,1,0,0,0,1,1,0,0,26,64,0
https://tinyurl.com/y8esstgs,0,0,0,0,0,0,0,0,0,50,100,0
http://alpier.playgdl.net/wp-content/plugins/duplicator/[emailÂ protected],1,1,0,0,1,0,0,0,0,0,0,0
http://zeniavilla.com/indexmail.htm,0,0,0,0,0,0,0,0,0,0,100,0
http://en.sylheteralap.com/scripts/ckeditor/kcfinder/upload/files/shakur/yahoo/lll/yahoo/login.html,1,1,0,0,0,0,1,0,0,0,0,0
http://melborp.co/sites/5885d80a15885d8/5885d80a13c0db1f8e051cb40a5393d96fec50118c72/,0,0,0,0,0,0,0,0,0,0,6,0
http://paypal-uk-refund.webcindario.com/paypal-co-uk.html,1,1,0,0,0,1,0,0,0,0,0,0
http://www.allcaliforniafencing.com/dropbox/,0,0,0,0,0,0,0,0,0,0,1,0
"https://www.itapua.com/cache/wix.error/74c9cb792b80c50f84058aa307fb9709/?cmd=https://users.wix.com/signin?loginDialogContext=login&referralInfo=HEADER&postLogin=8677697475069+_TIme:Mon,Aug,27,2018-12:39pm",0,0,0,0,2,0,0,0,0,0,100,0
http://manage-account-limited.igg.biz/webapps/dce61/websrc,1,1,0,0,0,1,1,0,0,0,0,0
http://flythissim.com/speak.html,0,0,0,0,0,0,0,0,0,0,2,0
http://zip.net/bntC8z,1,1,0,0,0,2,0,0,0,0,100,0
http://newmicrosoftoutlookmail.ulcraft.com/,1,1,0,0,0,0,0,0,0,0,3,0
http://jhanjartv.com/ok_site/team/auth/?email,1,1,0,0,0,0,1,0,0,0,23,0
http://www.volparavini.it/fr/ssl/,1,0,0,0,0,0,0,0,0,0,100,0
http://tkphotocenter.com/investment-asset/re-invest/index.html,0,1,0,0,0,0,0,0,0,0,8,0
http://www.solutions-prof.ru/core/components/googlesitemap/docs/offiece365.htm,1,1,0,0,0,1,0,7,0,0,100,0
https://www.sentulhighlands.com/Logins/access/hinet/hinett/member.hinet.net/HiReg/,1,0,0,0,2,0,0,11,0,26,0,0
http://www.tred-store.me/wp-content/languages/home/,1,1,0,1,1,1,1,0,0,0,38,0
http://aplication-fan-pages-2016.tuars.co/login.htm,1,1,0,0,0,1,1,7,0,0,2,0
http://workersed.com/wp-includes/pomo/dropbox/,0,0,0,0,0,0,0,11,0,1,100,0
http://clikto.com/js/us/delta.com/delta2018/index.php,1,1,0,0,0,0,0,0,0,0,100,0
http://workersed.com/wp-includes/pomo/dropbox/f1c5f586ba6a4ca22590973a112c7e0c/,0,0,0,0,0,0,0,11,0,1,100,0
http://kikilovell.com/wp-admin/css/colors/UPGRADE/Update/index.php,1,1,0,0,1,0,1,0,0,27,100,0
http://keyaleggings.com/includes/grea/index.htm,0,0,0,0,0,0,0,0,0,0,0,0
